id,title,option_1,option_2,option_3,option_4,answer,section_id
206,The given sentence have been divided into four parts out of which a part may contain grammatical error. Choose the part which has grammatical error.They were aware(a)/ that there project (b)/ was not going to meet (c)/ the intended target in time (d).,a,b,c,d,b,1
207,"In the sentence given below a part is underlined. Choose the most suitable option that can replace the Quoted part.There is""less"" need to prepare a presentation, as the clients will not be coming today.",hardly any,no,very little,somewhat,hardly any,1
208,"There are two sentences. Each sentence has a blank in it. Five options are given below the sentence pair. Choose the option that fits both the blanks :1.The currency trading session ______ eventually expire.
2.His boss ______ give him a raise",May,Will,Has,Wants,will,1
209,"Complete the following sentences with the most appropriate words/phrases with reference to grammar, idioms, proverbs and syntax:________________ should not throw stones.",People in glass houses,People in crystal houses,People in ice houses,None of the above,People in glass houses,1
210,"In the question below, there is a sentence with jumbled up parts. Rearrange these parts, which are labelled A, B, C and D to produce the correct sentence. Choose the proper sequence.a. I was certain b. the management meeting. c. be allowed to attend d. that subordinates would not",abcd,abdc,adcb,bcda,adcb,1
211,Choose the correct alternative which can be substituted for the below given word/ sentence :A word indicating medicines that have no biological value yet create an impact because of psychological reasons.,Albedo,Tornado,Placebo,Albino,Placebo,1
212,"In the following question, an idiom or proverb has been Quoted. Choose its correct meaning in the given context from the alternatives given below: She was ""scared to death"" when she realised she had selected the wrong slide for the company presentation.",She actually died from fear,She suffered extreme death-like fear,She felt death was frightening,None of the above,She suffered extreme death-like fear,1
213,Pick the world exactly opposite in meaning to the given word:Industrious,Agricultural,Manufacturing,Lethargic,Bored,Lethargic,1
214,Choose the pair of words which have a relationship similar to that between the given pair of words: Stench: Fragrance,Sound: Clap,Sound: Silence,Sound: Chatter,Sound: Noise,Sound: Silence,1
215,"In the sentence given below a part is underlined and for that part options are given. Choose the most suitable option that can replace the quoted part.A sharp fall in prices of jute ""have led the poor jute farmers"" to the brink of starvation",has led the poor jute farmers,have lead the poor jute farmers,has lead the pure jute farmers,have lead the poor farmers of jute,has led the poor jute farmers,1
216,"In the sentence given below a part is underlined and for that part options are given. Choose the most suitable option that can replace the Quoted part.""Inspite mother’s milk"" is vital to a child’s health, many FMCG companies wrongly advertise artificially prepared infant formulas as being the best for the child",Inspite milk of the mother,Mother’s milk,Though mother’s milk,Despite mother’s milk,Though mother’s milk,1
217,"In the sentence given below a part is Quoted and for that part options are given. Choose the most suitable option that can replace the underlined part:The meeting with the charismatic zonal manager as the annual performance day approached, provided the salespeople with the ""so-needed"" boost ",very-needed,needy,so-needful,much-needed,so-needful,1
218,The given sentence have been divided into parts out of which a part may contain grammatical error. Choose the part which has grammatical error : Unlawful universities for professional courses(a)/ are today a boom industry (b)/ fuelled by the ambition of parents (c)/ who wish to see their children become a doctor or an engineer at any cost (d),a,b,c,d,b,1
219,The given sentence have been divided into parts out of which a part may contain grammatical error. Choose the part which has grammatical error: Much is the amount of pressure (a)/ in the top ranking engineering colleges (b)/ that many students (c)/ drop out mid-way (d),a,b,c,d,a,1
220,"In the following questions, a sentence is broken up into parts. One of the parts may have an error. You are required to identify the part containing the error. If there is no error, choose “none of the above” as your answer: Each of them /have been given /a bouquet and a cake.",Each of them,have been given,a bouquet and a cake,no error,have been given,1
221,"In the following questions, a sentence is broken up into parts. One of the parts may have an error. You are required to identify the part containing the error. If there is no error, choose “none of the above” as your answer: What made you/ to go to that/ disreputable place?",What made you,to go to that,disreputable place,no error,to go to that,1
222,Choose the word closest in meaning to the given word : Revivify,Resurrect,Renovate,Spruce,Retrieve,Resurrect,1
223,Choose the word closest in meaning to the given word :Align,Disunited,Divergent,Adjust,Subserviant,Adjust,1
224,Choose the word most nearly opposite in meaning to the given word:Authoritarian,Foremost,Fundamental,Domineering,Permissive,Permissive,1
225,"Complete the following sentences with the most appropriate words/phrases with reference to grammar, idioms, proverbs and syntax:The child was __________ her mother in the dead of the night.",abducted to,abducted for,abducted away,abducted from,abducted from,1
226,"Complete the following sentences with the most appropriate words/phrases with reference to grammar, idioms, proverbs and syntax:Do not expect me to ________ you ________ this horrendous crime.","abet, by","abet, with","abet, in","abet, to","abet, in",1
227,"The question below consists of four sentences marked A, B, C and D. Arrange the sentences in a proper sequence to form a coherent paragraph.A) All I could remember was people around me, whispering to one another that I got lucky.B) I did not realize what I was considering just another sting would turn out to be something serious.C) When I look back, I don’t remember too much- of what I was thinking, what was going on in my head.C) When I look back, I don’t remember too much- of what I was thinking, what was going on in my head.D) The unbearable pain and burns had somehow numbed my senses.",DCAB,CDBA,ABCD,DCBA,CDBA,1
228,Pick the word/phrase most nearly opposite in meaning - Retrench,Diminish,Expand,Truncate,Wane,Expand,1
229,Pick the word/phrase most nearly opposite in meaning:Sapient,Astucious,Injudicious,Impostrous,Clandestine,Injudicious,1
230,Pick the word/phrase most nearly opposite in meaning:Peremptory,Circumspect,Command,Firm,Longanimous,Longanimous,1
231,Choose the correct alternative which can be substituted for the below given word/ sentence:A physician who diagnoses and interprets the changes caused by disease in tissues and body fluids,Pharmacist,Psychologist,Optometrist,Pathologist,Pathologist,1
232,Choose the correct alternative which can be substituted for the below given word/ sentence: A person who cannot help but steal whatever he can find.,daconomaniac,thanatomaniac,kleptomaniac,theomaniac,kleptomaniac,1
233,Pick the word/phrase closest in meaning to the given words: Impertinent,Intelligent,Disrespectful,Candid,Believable,Disrespectful,1
234,Fill in the blanks with the correctly spelled alternative: We _______ many words in our day to day usage.,misspell,mispell,mispel,misspel,misspell,1
235,Fill in the blanks with the correctly spelled alternative:Can you _________ her in another room?,acommodate,accommodate,accomodate,acomodate,accommodate,1
236,"In the following question, three words are alike in some manner. Spot the odd one out.",Sapphire,Turquoise,Aquamarine,Emerald,Emerald,1
237,"In the following question, three words are alike in some manner - Spot the odd one out.",Nylon,Cotton,Silk,Fabric,Fabric,1
238,"In the question below, there is a sentence with jumbled up parts. Rearrange these parts, which are labelled A, B, C and D to produce the correct sentence. Choose the proper sequence:‘Slow and steady is … A) taking the analytical writing B) at least not when you are C) not the way to go D )test of this exam",DCAB,CBAD,ABCD,DCBA,CBAD,1
239,"Fill in the blanks with the correctly spelled alternative: I wanted to know on which day my birthday falls this year. So, I went to check the __________",calendar,calender,calander,celendar,calendar,1
240,Fill in the blanks with the correctly spelled alternative: He buried his wife and child in the __________ near his church.,cemetry,cemetery,cementary,cemetary,cemetery,1
241,From the word 'LAPAROSCOPY' how many independent meaningful words can be made without changing the order of the letters and using each letter only once ?,3,4,1,2,2,1
242,Find the odd one out,crusade,campaign,expedition,cruise,cruise,1
243,Find the odd one out,Flower : Petal,Circle : Arc,Cover : Page,Chair : Leg,Cover : Page,1
244,Three of the following four are alike in a certain way and hence form a group. Which is the one that does not belong to that group?,Shirt,Shoe,Ring,Cobbler,Cobbler,1
245,A scenery always has ________,Rivers,Mountains,Paints,Composition,Composition,1
246,A tree always has which of the following_______,Shadow,Leaves,Branches,Roots,Roots,1
247,Join the following words to make up a meaningful sentence: 1.Suddenly  2.left  3.the  4.He  5.House,12345,14235,32415,53421,14235,1
248,The boy at the river was not eating _________ food.,a,an,any,nothing,any,1
249,The fault of Englishmen was that they expected others to react to social and political situations like ________.,Everyone,Themselves,Others,Us,Themselves,1
250,Choose one word which resembles the sentence:Study of skin and skin diseases,Orthopaedics,Dermatology,Gynaecology,Endocrinology,Dermatology,1
251,Choose the word which best expresses the meaning of the given word. CORPULENT,Lean,Gaunt,Emaciated,Obese,Obese,1
252,Choose the word which best expresses the meaning of the given word. BRIEF,Limited,Small,Little,Short,Short,1
253,Choose the word which best expresses the meaning of the given word.EMBEZZLE,Misappropriate,Balance,Remunerate,Clear,Misappropriate,1
254,Choose the word which best expresses the meaning of the given word.VENT,Opening,Stodge,End,Past tense of go,Opening,1
255,Choose the word which best expresses the meaning of the given word.AUGUST,Common,Ridiculous,Dignified,Petty,Dignified,1
256,Choose the word which best expresses the meaning of the given word.CANNY,Obstinate,Handsome,Clever,Stout,Clever,1
257,Choose the word which best expresses the meaning of the given word .ALERT,Energetic,Observant,Intelligent,Watchful,Watchful,1
258,Choose the word which best expresses the meaning of the given word.WARRIOR,Soldier,Sailor,Pirate,Spy,Soldier,1
259,Choose the word which best expresses the meaning of the given word.DISTANT,Far,Removed,Reserved,Separate,Far,1
260,Choose the word which best expresses the meaning of the given word.ADVERSITY,Failure,Helplessness,Misfortune,Crisis,Misfortune,1
261,Choose the word which best expresses the meaning of the given word.FAKE,Original,Imitation,Trustworthy,Loyal,Imitation,1
262,Choose the word which best expresses the meaning of the given word.INDICT,Condemn,Reprimand,Accuse,Allege,Accuse,1
263,Choose the word which best expresses the meaning of the given word.STRINGENT,Dry,Strained,Rigorous,Shrill,Rigorous,1
264,Choose the word which best expresses the meaning of the given word.LAMENT,Complain,Comment,Condone,Console,Complain,1
265,Choose the word which best expresses the meaning of the given word.HESITATED,Stopped,Paused,Slowed,Postponed,Paused,1
266,Choose the word which best expresses the meaning of the given word.RESCUE,Command,Help,Defence,Safety,Help,1
267,Choose the word which best expresses the meaning of the given word.ATTEMPT,Serve,Explore,Try,Explain,Try,1
268,Choose the word which best expresses the meaning of the given word.FORAY,Maraud,Contest,Ranger,Intuition,Maraud,1
269,Choose the word which best expresses the meaning of the given word.RECKLESS,Courageous,Rash,Bold,Daring,Rash,1
270,Choose the word which best expresses the meaning of the given word.CONSEQUENCES,Results,Conclusions,Difficulties,Applications,Results,1
271,Choose the word which best expresses the meaning of the given word.IMPROVEMENT,Advancement,Betterment,Promotion,Preference,Betterment,1
272,Choose the word which best expresses the meaning of the given word.INEBRIATE,Dreamy,Stupefied,Unsteady,Drunken,Drunken,1
273,Choose the word which best expresses the meaning of the given word.STERILE,Barren,Arid,Childless,Dry,Barren,1
274,Choose the word which best expresses the meaning of the given word. ABJECT,Challenge,Miserable,Deny,Disobey,Miserable,1
275,Choose the word which best expresses the meaning of the given word.MOVING,Taking,Toying,Shifting,Turning,Shifting,1
276,Choose the word which best expresses the meaning of the given word. IRONIC,Inflexible,Bitter,Good-natured,Disguisedly sarcastic,Disguisedly sarcastic,1
277,Choose the word which best expresses the meaning of the given word.TIMID,Fast,Slow,Medium,Shy,Shy,1
278,Choose the word which best expresses the meaning of the given word.EXTRICATE,Pull,Free,Tie,Complicate,Free,1
279,Choose the word which best expresses the meaning of the given word.NEUTRAL,Unbiased,Non-aligned,Undecided,Indifferent,Unbiased,1
280,Choose the word which best expresses the meaning of the given word. SHALLOW,Artificial,Superficial,Foolish,Worthless,Superficial,1
281,Choose the word which best expresses the meaning of the given word .DIVERSION,Amusement,Distortion,Deviation,Bylane,Deviation,1
282,Choose the word which best expresses the meaning of the given word.INSOLVENT,Poor,Bankrupt,Penniless,Broke,Bankrupt,1
283,Choose the word which best expresses the meaning of the given word. INEXPLICABLE,Confusing,Unaccountable,Chaotic,Unconnected,Unaccountable,1
284,Choose the word which best expresses the meaning of the given word.FEEBLE,Weak,Vain,Arrogant,Sick,Weak,1
285,Choose the word which best expresses the meaning of the given word.TRANSIENT,Transparent,Fleeting,Feeble,Fanciful,Fleeting,1
286,Choose the word which best expresses the meaning of the given word.BARE,Uncovered,Tolerate,Clear,Neat,Uncovered,1
287,Choose the word which best expresses the meaning of the given word.REPEAL,Sanction,Perpetuate,Pass,Cancel,Cancel,1
288,Choose the word which best expresses the meaning of the given word .SALACITY,Bliss,Depression,Indecency,Recession,Indecency,1
289,Choose the word which best expresses the meaning of the given word .ECSTATIC,Animated,Bewildered,Enraptured,Illful,Enraptured,1
290,Choose the word which best expresses the meaning of the given word .ADMONISH,Punish,Curse,Dismiss,Reprimand,Reprimand,1
291,Choose the word which best expresses the meaning of the given word.DILIGENT,Progressive,Brilliant,Inventive,Hard-working,Hard-working,1
292,Choose the word which best expresses the meaning of the given word .PIOUS,Pure,Pretentious,Clean,Devout,Devout,1
293,Choose the word which best expresses the meaning of the given word.BROWSE,Heal,Deceive,Examine,Strike,Examine,1
294,Choose the word which best expresses the meaning of the given word.INFREQUENT,Never,Usual,Rare,Sometimes,Rare,1
295,Choose the word which best expresses the meaning of the given word.RESTRAINT,Hindrance,Repression,Obstacle,Restriction,Restriction,1
296,Choose the word which best expresses the meaning of the given word.DEIFY,Flatter,Challenge,Worship,Face,Worship,1
297,Choose the word which best expresses the meaning of the given word.HARBINGER,Messenger,Steward,Forerunner,Pilot,Forerunner,1
298,Choose the word which best expresses the meaning of the given word.VENUE,Place,Agenda,Time,Duration,Place,1
299,Choose the word which best expresses the meaning of the given word.CANDID,Apparent,Explicit,Frank,Bright,Frank,1
300,Choose the word which best expresses the meaning of the given word.MELD,To soothe,Merge,Purchase,Glisten,Merge,1
301,"If FRIEND is coded as HUMJTK, how can CANDLE be written in that code? ",DEQJQM,DCQHQK,EDRIRL,ESJFME,EDRIRL,2
302,"Based on the following statements, which is the correct conclusion drawn. 

Only gentlemen can become members of the club. Many of the members of the club are officers. Some of the officers have been invited for dinner. ","All the members of the club have been invited for dinner
",   All gentlemen are members of the club,"Some of the officers are not gentlemen
","Only gentlemen have been invited for dinner
",   All gentlemen are members of the club,2
303,"Circle indicates 'strong', square indicates 'tall' and triangle 'army officers'. The strong army officers who are not tall are shown. ",4,3,5,6,4,2
304,Artists are generally whimsical. Some of them are frustrated. Frustrated people are prone to be drug addicts. Based on these statements which of the following conclusions is true? ,All frustrated people are drug addicts,"Some artists may be drug addicts
","All drug addicts are artists
","Frustrated people are whimsical
","Some artists may be drug addicts
",2
305,Find the odd one out,Sheep: bleat,Horse: neigh,Ass: grunt,Owl: hoot,Ass: grunt,2
306,If banana is apple; apple is grapes; grapes is mango; mango is nuts; nuts is guava; which of the following is a yellow fruit ? ,Mango,Guava,Apple,Nuts,Nuts,2
307,If in a certain language KINDLE is coded as ELDNIK; how is EXOTIC coded in that code?,EOXITC,EXOTLC,CITOXE,COXITE,CITOXE,2
308,"Pointing to a man in a photograph; a woman said; ""His brother's father is the only son of my grandfather."" How is the woman related to the man in the photograph? ",Sister,Aunt,Daughter,Grandaughter,Sister,2
309,"AZ, GT, MN, ?, YB",KF,RX,SH,TS,SH,2
310,"AZ, CX, FU, ? ",IR,IV,JQ,KP,JQ,2
311,"AZ, BY, CX, ? ",EF,GH,IJ,DW,DW,2
312,"?, SIY, OEU, KAQ, GWM, CSI",WNE,WMC,WNB,WNF,WMC,2
313,"CMW, HRB, ?, RBL, WGQ, BLV",MWG,LVF,LWG,WMX,MWG,2
314, Poles : Magnet :: ? : Battery,Energy,Power,Terminals,Cells,Terminals,2
315,Peace : Chaos :: Creation : ?,Destruction,Manufacture,Build,Construction,Destruction,2
316,Architect : Building :: Sculptor : ?,Museum,Statue,Chisel,Stone,Statue,2
317,Horse : Mare :: ,Donkey : Pony,Dog : Puppy,Duck : Geese,Fox : Vixen,Fox : Vixen,2
318,Cricket : Pitch ::,Ship : Dock,Boat : Harbour,Boxing : Ring,Wrestling : Track,Boxing : Ring,2
319,Oceans : Deserts : : Waves : ?,Dust,Sand Dunes,Ripples,Sea,Sand Dunes,2
320,Grain : Stock : : Stick : ?,String,Heap,Collection,Bundle,Bundle,2
321,Cube is related to Square in the same way as Square is related to ,Plane,Triangle,Line,Point,Line,2
322,Bank is related to Money in the same way as Transport is related to ,Traffic,Goods,Speed,Road,Goods,2
323,Fan is related to Wings in the same way as Wheel is related to,Round,Air,Spokes,Cars,Spokes,2
324,FLEXIBLE : RIGID :: CONFIDENCE : ?,Diffidence,Indifference,Cowardice,Scare,Diffidence,2
325,NECKLACE : ADORNMENT :: ?,Medal : Decoration,Bronze : Medal,Scarf : Dress,Window : House,Medal : Decoration,2
326,BILLY : GOAT ::,Cow : Bull,Lord : Maid,Man : Woman,Cow : Calf,Man : Woman,2
327,WORK : MOTIVE ::,Body : Mind,Wall : Paint,Body : Food,Petrol : Car,Petrol : Car,2
328,WINDOW : CURTAIN ::,Door : Frame,Book : Jacket,CPU : Cabinet,Casing : Wire,CPU : Cabinet,2
329,Street is related to Lane in the same way as Road is related to ...,Footpath,Junction,Avenue,Highway,Avenue,2
330,Victory is related to Happiness in the same way as Failure is related to ...,Defeat,Anger,Frustration,Sadness,Frustration,2
331,"In a family there are husband wife, two sons and two daughters. All the ladies were invited to a dinner. Both sons went out to play. Husband did not return from office. Who was at home? ",Only wife was at home,All ladies were at home,Only sons were at home,No body was at home,No body was at home,2
332,"If A is the son of Q, Q and Y are sisters, Z is the mother of Y, P is the son of Z, then which of the following statements is correct ?",P is the maternal uncle of A,P and Y are sisters,A and P are cousins,None of the above,P is the maternal uncle of A,2
333,"There are five books A, B, C, D and E placed on a table. If A is placed below E, C is placed above D, B is placed below A and D is placed above E, then which of the following books touches the surface of the table ?",C,B,A,E,B,2
334,"Three ladies X, Y and Z marry three men A, B and C. X is married to A, Y is not married to an engineer, Z is not married to a doctor, C is not a doctor and A is a lawyer. Then which of the following statements is correct ?",Y is married to C who is an engineer,Z is married to C who is a doctor,X is married to a doctor,None of the above,None of the above,2
335,"These questions are based on the figure given above in which (1) Rectangle represents Males, (2) Circle represents the urbans (3) Square represents the educated and (4) Triangle represents the civil servants: The number indicating the uneducated urban males is",4,5,7,11,5,2
336,"These questions are based on the figure given above in which (1) Rectangle represents Males, (2) Circle represents the urbans (3) Square represents the educated and (4) Triangle represents the civil servants: The number indicating the educated civil servants who are males but not urbans is",7,8,9,10,10,2
337,"These questions are based on the figure given above in which (1) Rectangle represents Males, (2) Circle represents the urbans (3) Square represents the educated and (4) Triangle represents the civil servants:The number indicating the educated urban males who are not civil servants is 

",7,8,9,10,9,2
338,"These questions are based on the figure given above in which (1) Rectangle represents Males, (2) Circle represents the urbans (3) Square represents the educated and (4) Triangle represents the civil servants: The number indicating the educated urban males who are not civil servants is: The number indicating the educated males who are urban civil servants is",4,7,8,9,8,2
339,"These questions are based on the figure given above in which (1) Rectangle represents Males, (2) Circle represents the urbans (3) Square represents the educated and (4) Triangle represents the civil servants: The number indicating the uneducated females who are urban civil servants is",6,9,10,11,11,2
340,There is some relationship between diagrams A & B. The same relationship persists between C & D. Find the right diagrams for D from the alternatives.,1,2,3,4,4,2
341,There is some relationship between diagrams A & B. The same relationship persists between C & D. Find the right diagrams for D from the alternatives.,1,2,3,4,1,2
342,There is some relationship between diagrams A & B. The same relationship persists between C & D. Find the right diagrams for D from the alternatives.,1,2,3,4,3,2
343,There is some relationship between diagrams A & B. The same relationship persists between C & D. Find the right diagrams for D from the alternatives.,1,2,3,4,3,2
344,"Tanya is older than Eric.
Cliff is older than Tanya.
Eric is older than Cliff.
If the first two statements are true, the third statement is",TRUE,FALSE,Uncertain,None of the above,FALSE,2
345,"Blueberries cost more than strawberries.
Blueberries cost less than raspberries.
Raspberries cost more than strawberries and blueberries.
If the first two statements are true, the third statement is",TRUE,FALSE,Uncertain,None of the above,TRUE,2
346,"All the trees in the park are flowering trees.
Some of the trees in the park are dogwoods.
All dogwoods in the park are flowering trees.
If the first two statements are true, the third statement is",TRUE,FALSE,Uncertain,None of the above,TRUE,2
347,"	
Mara runs faster than Gail.
Lily runs faster than Mara.
Gail runs faster than Lily.
If the first two statements are true, the third statement is",TRUE,FALSE,Uncertain,None of the above,FALSE,2
348,"Apartments in the Riverdale Manor cost less than apartments in The Gaslight Commons.
Apartments in the Livingston Gate cost more than apartments in the The Gaslight Commons.
Of the three apartment buildings, the Livingston Gate costs the most.
If the first two statements are true, the third statement is",TRUE,FALSE,Uncertain,None of the above,TRUE,2
349,"The Kingston Mall has more stores than the Galleria.
The Four Corners Mall has fewer stores than the Galleria.
The Kingston Mall has more stores than the Four Corners Mall.
If the first two statements are true, the third statement is",TRUE,FALSE,Uncertain,None of the above,TRUE,2
350,"All the tulips in Zoe's garden are white.
All the pansies in Zoe's garden are yellow.
All the flowers in Zoe's garden are either white or yellow
If the first two statements are true, the third statement is",TRUE,FALSE,Uncertain,None of the above,Uncertain,2
351,"During the past year, Josh saw more movies than Stephen.
Stephen saw fewer movies than Darren.
Darren saw more movies than Josh.
If the first two statements are true, the third statement is",TRUE,FALSE,Uncertain,None of the above,Uncertain,2
352,"All the offices on the 9th floor have wall-to-wall carpeting.
No wall-to-wall carpeting is pink.
None of the offices on the 9th floor has pink wall-to-wall carpeting.
If the first two statements are true, the third statement is",TRUE,FALSE,Uncertain,None of the above,TRUE,2
353,"Class A has a higher enrollment than Class B.
Class C has a lower enrollment than Class B.
Class A has a lower enrollment than Class C.
If the first two statements are true, the third statement is",TRUE,FALSE,Uncertain,None of the above,FALSE,2
354,"Read the below passage carefully and answer the questions:

At a small company, parking spaces are reserved for the top executives: CEO, president, vice president, secretary, and treasurer with the spaces lined up in that order. The parking lot guard can tell at a glance if the cars are parked correctly by looking at the color of the cars. The cars are yellow, green, purple, red, and blue, and the executives names are Alice, Bert, Cheryl, David, and Enid.

The car in the first space is red.
A blue car is parked between the red car and the green car.
The car in the last space is purple.
The secretary drives a yellow car.
Alice's car is parked next to David's.
Enid drives a green car.
Bert's car is parked between Cheryl's and Enid's.
David's car is parked in the last space.         
Who is the secretary?",David,Alice,Cheryl,Bert,Alice,2
355,"Read the below passage carefully and answer the questions:

At a small company, parking spaces are reserved for the top executives: CEO, president, vice president, secretary, and treasurer with the spaces lined up in that order. The parking lot guard can tell at a glance if the cars are parked correctly by looking at the color of the cars. The cars are yellow, green, purple, red, and blue, and the executives names are Alice, Bert, Cheryl, David, and Enid.

The car in the first space is red.
A blue car is parked between the red car and the green car.
The car in the last space is purple.
The secretary drives a yellow car.
Alice's car is parked next to David's.
Enid drives a green car.
Bert's car is parked between Cheryl's and Enid's.
David's car is parked in the last space. Who is the CEO ?",David,Alice,Cheryl,Enid,Cheryl,2
356,"Read the below passage carefully and answer the questions:

At a small company, parking spaces are reserved for the top executives: CEO, president, vice president, secretary, and treasurer with the spaces lined up in that order. The parking lot guard can tell at a glance if the cars are parked correctly by looking at the color of the cars. The cars are yellow, green, purple, red, and blue, and the executives names are Alice, Bert, Cheryl, David, and Enid.

The car in the first space is red.
A blue car is parked between the red car and the green car.
The car in the last space is purple.
The secretary drives a yellow car.
Alice's car is parked next to David's.
Enid drives a green car.
Bert's car is parked between Cheryl's and Enid's.         
David's car is parked in the last space.What color is the vice president's car?",Green,Yellow,Red,Purple,Green,2
357,"Here are some words translated from an artificial language.
gorblflur means fan belt
pixngorbl means ceiling fan
arthtusl means tile roof
Which word could mean ""ceiling tile""?",gorbltusl,flurgorbl,arthflur,pixnarth,pixnarth,2
358,"Here are some words translated from an artificial language.
hapllesh means cloudburst
srenchoch means pinball
resbosrench means ninepin
Which word could mean ""cloud nine""?",leshsrench,ochhapl,haplresbo,haploch,haplresbo,2
359,"	
Here are some words translated from an artificial language.
agnoscrenia means poisonous spider
delanocrenia means poisonous snake
agnosdeery means brown spider
Which word could mean ""black widow spider""?",deeryclostagnos,agnosvitriblunin,agnosdelano,trymuttiagnos,agnosvitriblunin,2
360,"Here are some words translated from an artificial language.
moolokarn means blue sky
wilkospadi means bicycle race
moolowilko means blue bicycle
Which word could mean ""racecar""?",wilkozwet,spadiwilko,moolobreil,spadivolo,spadivolo,2
361,"Here are some words translated from an artificial language.
migenlasan means cupboard
lasanpoen means boardwalk
cuopdansa means pullman
Which word could mean ""walkway""?",poenmigen,cuopeisel,lasandansa,poenforc,poenforc,2
362,"Here are some words translated from an artificial language.
godabim means kidney stones
romzbim means kidney beans
romzbako means wax beans
Which word could mean ""wax statue""?",godaromz,lazbim,wasibako,romzpeo,wasibako,2
363,"Here are some words translated from an artificial language.
granamelke means big tree
pinimelke means little tree
melkehoon means tree house
Which word could mean ""big house""?",granahoon,pinishur,pinihoon,melkegrana,granahoon,2
364,"Here are some words translated from an artificial language.
daftafoni means advisement
imodafta means misadvise
imolokti means misconduct
Which word could mean ""statement""?",kratafoni,kratadafta,loktifoni,daftaimo,kratafoni,2
365,"Here are some words translated from an artificial language.
lelibroon means yellow hat
plekafroti means flower garden
frotimix means garden salad
Which word could mean ""yellow flower""?",lelifroti,lelipleka,plekabroon,frotibroon,lelipleka,2
366,"Here are some words translated from an artificial language.
myncabel means saddle horse
conowir means trail ride
cabelalma means horse blanket
Which word could mean ""horse ride""?",cabelwir,conocabel,almamyn,conoalma,cabelwir,2
367,"Here are some words translated from an artificial language.
dionot means oak tree
blyonot means oak leaf
blycrin means maple leaf
Which word could mean ""maple syrup""?",blymuth,hupponot,patricrin,crinweel,patricrin,2
368,"Here are some words translated from an artificial language.
tamceno means sky blue
cenorax means blue cheese
aplmitl means star bright
Which word could mean ""bright sky""?",cenotam,mitltam,raxmitl,aplceno,mitltam,2
369,Choose the word that is a necessary part of the underlined word: Harvest,autumn,stockpile,tractor,crop,crop,2
370,Choose the word that is a necessary part of the underlined word: Desert,cactus,arid,oasis,flat,arid,2
371,Choose the word that is a necessary part of the underlined word: Book ,fiction,pages,pictures,learning,pages,2
372,Choose the word that is a necessary part of the underlined word: Language,tongue,slang,writing,words,words,2
373,Choose the word that is a necessary part of the underlined word: School,student,report card,test,learning,student,2
374,Choose the word that is a necessary part of the underlined word: Pain,cut,burn,hurt,nuisance,hurt,2
375,Choose the word that is a necessary part of the underlined word: Gala,celebration,tuxedo,appetizer,orator,celebration,2
376,Choose the word that is a necessary part of the underlined word: Monopoly,corrupt,exclusive,rich,gigantic,exclusive,2
377,Choose the word that is a necessary part of the underlined word: Guitar,band,teacher,songs,strings,strings,2
378,Choose the word that is a necessary part of the underlined word: Election,president,voter,November,nation,voter,2
379,Choose the word that is a necessary part of the underlined word: Shoe,sole,leather,laces,walking,sole,2
380,Choose the word that is a necessary part of the underlined word: Swimming,pool,bathing suit,water,life jacket,water,2
381,Choose the word that is a necessary part of the underlined word: Lightning,electricity,thunder,brightness,rain,electricity,2
382,Odometer is to mileage as compass is to,speed,hiking,needle,direction,direction,2
383,Marathon is to race as hibernation is to,winter,bear,dream,sleep,sleep,2
384,Window is to pane as book is to,novel,page,cover,glass,page,2
385,Cup is to coffee as bowl is to,dish,spoon,soup,food,soup,2
386,Yard is to inch as quart is to,gallon,ounce,milk,liquid,ounce,2
387,Elated is to despondent as enlightened is to,aware,ignorant,miserable,tolerant,ignorant,2
388,Optimist is to cheerful as pessimist is to,gloomy,mean,petty,helpful,gloomy,2
389,Reptile is to lizard as flower is to,petal,stem,daisy,alligator,daisy,2
390,Play is to actor as concert is to,symphony,musician,piano,percussion,musician,2
391,Sponge is to porous as rubber is to,massive,solid,elastic,inflexible,elastic,2
392,Careful is to cautious as boastful is to,arrogant,humble,joyful,suspicious,arrogant,2
393,Pen is to poet as needle is to,thread,button,sewing,tailor,tailor,2
394,Secretly is to openly as silently is to,scarcely,impolitely,noisily,quietly,noisily,2
395,Embarrassed is to humiliated as frightened is to,terrified,agitated,courageous,reckless,terrified,2
396,Pride is to lion as shoal is to,teacher,student,self-respect,fish,fish,2
397,Artist is to painting as senator is to,attorney,law,politician,constituents,law,2
398,Candid is to indirect as honest is to,frank,wicked,truthful,untruthful,untruthful,2
399,Guide is to direct as reduce is to,decrease,maintain,increase,preserve,decrease,2
400,Oar is to rowboat as foot is to,running,sneaker,skateboard,jumping,skateboard,2
401,Roshan is taller than Hardik who is shorter than Sushil. Niza is taller than Harry but shorter than Hardik. Sushil is shorter than Roshan. Who is the tallest?,Roshan,Sushil,Harry,Niza,Roshan,2
402,Priti scored more than Rahul. Yamuna scored as much as Divya. Lokita scored less than Manju. Rahul scored more than Yamuna. Manju scored less than Divya. Who scored the lowest?,Manju,Lokita,Yamuna,None of the above,Lokita,2
403,"Among five boys. Vasant is taller than Manohar, but not as tall as Raju. Jayant is taller than Dutta, but shorter than Manohar. Who is the tallest in the group?",Vasant,Manohar,Raju,Cannot be determined,Raju,2
404,Choose the figure which is different,1,2,3,4,4,2
405,Choose the figure which is different,1,2,3,4,3,2
